DATE,MICONS,MIEDUH,MIFIRE,MIGOVT,MIMFG,MINA,MISLIND,MIUR,SMS26000000600000001,SMU26000000600000002SA,SMU26000000600000003SA,SMU26000002000000002SA,SMU26000002000000003SA,SMU26000003000000002SA,SMU26000003000000003SA,SMU26000005500000002SA,SMU26000005500000003SA,SMU26000006500000002SA,SMU26000006500000003SA
1976-01-01,,,,,,,,10.0,,,,,,,,,,,
1976-02-01,,,,,,,,10.0,,,,,,,,,,,
1976-03-01,,,,,,,,9.9,,,,,,,,,,,
1976-04-01,,,,,,,,9.7,,,,,,,,,,,
1976-05-01,,,,,,,,9.6,,,,,,,,,,,
1976-06-01,,,,,,,,9.4,,,,,,,,,,,
1976-07-01,,,,,,,,9.2,,,,,,,,,,,
1976-08-01,,,,,,,,9.0,,,,,,,,,,,
1976-09-01,,,,,,,,9.0,,,,,,,,,,,
1976-10-01,,,,,,,,8.9,,,,,,,,,,,
1976-11-01,,,,,,,,9.0,,,,,,,,,,,
1976-12-01,,,,,,,,8.9,,,,,,,,,,,
1977-01-01,,,,,,,,8.9,,,,,,,,,,,
1977-02-01,,,,,,,,8.8,,,,,,,,,,,
1977-03-01,,,,,,,,8.6,,,,,,,,,,,
1977-04-01,,,,,,,,8.4,,,,,,,,,,,
1977-05-01,,,,,,,,8.3,,,,,,,,,,,
1977-06-01,,,,,,,,8.2,,,,,,,,,,,
1977-07-01,,,,,,,,8.1,,,,,,,,,,,
1977-08-01,,,,,,,,8.1,,,,,,,,,,,
1977-09-01,,,,,,,,8.0,,,,,,,,,,,
1977-10-01,,,,,,,,7.9,,,,,,,,,,,
1977-11-01,,,,,,,,7.7,,,,,,,,,,,
1977-12-01,,,,,,,,7.5,,,,,,,,,,,
1978-01-01,,,,,,,,7.3,,,,,,,,,,,
1978-02-01,,,,,,,,7.1,,,,,,,,,,,
1978-03-01,,,,,,,,6.9,,,,,,,,,,,
1978-04-01,,,,,,,,6.8,,,,,,,,,,,
1978-05-01,,,,,,,,6.8,,,,,,,,,,,
1978-06-01,,,,,,,,6.8,,,,,,,,,,,
1978-07-01,,,,,,,,6.9,,,,,,,,,,,
1978-08-01,,,,,,,,6.9,,,,,,,,,,,
1978-09-01,,,,,,,,7.0,,,,,,,,,,,
1978-10-01,,,,,,,,7.0,,,,,,,,,,,
1978-11-01,,,,,,,,7.1,,,,,,,,,,,
1978-12-01,,,,,,,,7.1,,,,,,,,,,,
1979-01-01,,,,,,,,7.2,,,,,,,,,,,
1979-02-01,,,,,,,,7.2,,,,,,,,,,,
1979-03-01,,,,,,,,7.2,,,,,,,,,,,
1979-04-01,,,,,,,,7.2,,,,,,,,,,,
1979-05-01,,,,,,,,7.3,,,,,,,,,,,
1979-06-01,,,,,,,,7.4,,,,,,,,,,,
1979-07-01,,,,,,,,7.7,,,,,,,,,,,
1979-08-01,,,,,,,,7.9,,,,,,,,,,,
1979-09-01,,,,,,,,8.2,,,,,,,,,,,
1979-10-01,,,,,,,,8.5,,,,,,,,,,,
1979-11-01,,,,,,,,8.9,,,,,,,,,,,
1979-12-01,,,,,,,,9.2,,,,,,,,,,,
1980-01-01,,,,,,,,9.8,,,,,,,,,,,
1980-02-01,,,,,,,,10.5,,,,,,,,,,,
1980-03-01,,,,,,,,11.3,,,,,,,,,,,
1980-04-01,,,,,,,,12.2,,,,,,,,,,,
1980-05-01,,,,,,,,13.0,,,,,,,,,,,
1980-06-01,,,,,,,,13.5,,,,,,,,,,,
1980-07-01,,,,,,,,13.6,,,,,,,,,,,
1980-08-01,,,,,,,,13.5,,,,,,,,,,,
1980-09-01,,,,,,,,13.2,,,,,,,,,,,
1980-10-01,,,,,,,,12.9,,,,,,,,,,,
1980-11-01,,,,,,,,12.7,,,,,,,,,,,
1980-12-01,,,,,,,,12.5,,,,,,,,,,,
1981-01-01,,,,,,,,12.4,,,,,,,,,,,
1981-02-01,,,,,,,,12.2,,,,,,,,,,,
1981-03-01,,,,,,,,12.1,,,,,,,,,,,
1981-04-01,,,,,,,,11.9,,,,,,,,,,,
1981-05-01,,,,,,,,11.8,,,,,,,,,,,
1981-06-01,,,,,,,,11.7,,,,,,,,,,,
1981-07-01,,,,,,,,11.8,,,,,,,,,,,
1981-08-01,,,,,,,,12.1,,,,,,,,,,,
1981-09-01,,,,,,,,12.5,,,,,,,,,,,
1981-10-01,,,,,,,,13.0,,,,,,,,,,,
1981-11-01,,,,,,,,13.5,,,,,,,,,,,
1981-12-01,,,,,,,,14.0,,,,,,,,,,,
1982-01-01,,,,,,,-5.07,14.4,,,,,,,,,,,
1982-02-01,,,,,,,-4.26,14.7,,,,,,,,,,,
1982-03-01,,,,,,,-3.13,14.9,,,,,,,,,,,
1982-04-01,,,,,,,-2.19,14.9,,,,,,,,,,,
1982-05-01,,,,,,,-1.54,14.9,,,,,,,,,,,
1982-06-01,,,,,,,-2.13,15.0,,,,,,,,,,,
1982-07-01,,,,,,,-1.70,15.1,,,,,,,,,,,
1982-08-01,,,,,,,-2.20,15.5,,,,,,,,,,,
1982-09-01,,,,,,,-1.93,15.8,,,,,,,,,,,
1982-10-01,,,,,,,-2.03,16.2,,,,,,,,,,,
1982-11-01,,,,,,,-0.68,16.5,,,,,,,,,,,
1982-12-01,,,,,,,1.31,16.5,,,,,,,,,,,
1983-01-01,,,,,,,2.46,16.4,,,,,,,,,,,
